"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
2,11008,"; _Z57batched_matrix_multiplication_matrix_core_128x128x16_IGLPILj128ELj128ELj16EEvjjjjPKDF16bS1_PDF16b4dim3S3_S3_i",0,0,0,0,"void batched_matrix_multiplication_matrix_core_128x128x16_IGLP<128u, 128u, 16u>(unsigned int, unsigned int, unsigned int, unsigned int, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t*, dim3, dim3, dim3, int)"
2,11008,"s_load_dwordx4 s[16:19], s[0:1], 0x10",8,40,8,6920,""
2,11016,"s_load_dwordx8 s[8:15], s[0:1], 0x28",8,32,0,0,""
2,11024,"s_lshl_b32 s5, s3, 7",8,32,0,0,""
2,11028,"s_mov_b32 s7, 0",8,32,0,0,""
2,11032,"v_lshrrev_b32_e32 v12, 7, v0",8,32,0,0,""
2,11036,"v_and_b32_e32 v2, 63, v0",8,32,0,0,""
2,11040,"s_waitcnt lgkmcnt(0)",8,4992,4992,0,""
2,11044,"s_mul_i32 s3, s8, s4",8,36,4,0,""
2,11048,"s_mul_i32 s6, s9, s5",8,44,12,0,""
2,11052,"s_add_i32 s6, s6, s3",8,48,16,0,""
2,11056,"s_lshl_b64 s[20:21], s[6:7], 1",8,32,0,0,""
2,11060,"s_add_u32 s24, s16, s20",8,32,0,0,""
2,11064,"s_addc_u32 s25, s17, s21",8,44,12,0,""
2,11068,"s_mul_i32 s3, s11, s4",8,32,0,0,""
2,11072,"s_lshl_b32 s11, s2, 7",8,36,4,0,""
2,11076,"v_bfe_u32 v1, v0, 6, 1",8,32,0,0,""
2,11084,"s_mul_i32 s2, s13, s11",8,32,0,0,""
2,11088,"v_lshl_or_b32 v13, v12, 6, v2",8,32,0,0,""
2,11096,"s_add_i32 s6, s2, s3",8,32,0,0,""
2,11100,"v_mul_lo_u32 v2, s9, v13",8,32,0,0,""
2,11108,"v_lshlrev_b32_e32 v16, 3, v1",8,36,4,0,""
2,11112,"v_lshlrev_b32_e32 v18, 3, v12",8,32,0,0,""
2,11116,"s_lshl_b64 s[22:23], s[6:7], 1",8,32,0,0,""
2,11120,"v_mad_u64_u32 v[14:15], s[8:9], s10, v16, v[2:3]",8,32,0,0,""
2,11128,"v_and_b32_e32 v17, 0x7f, v0",8,32,0,0,""
2,11136,"v_mul_lo_u32 v2, s12, v18",8,32,0,0,""
2,11144,"s_add_u32 s2, s18, s22",8,36,0,64,""
2,11148,"v_mad_u64_u32 v[2:3], s[8:9], s13, v17, v[2:3]",8,48,16,0,""
2,11156,"v_mov_b32_e32 v15, 0",8,36,0,0,""
2,11160,"s_addc_u32 s3, s19, s23",8,48,16,92,""
2,11164,"v_lshl_add_u64 v[4:5], v[14:15], 1, s[24:25]",8,184,152,0,""
2,11172,"v_mov_b32_e32 v3, v15",8,32,0,0,""
2,11176,"global_load_dwordx4 v[4:7], v[4:5], off",8,44,12,64,""
2,11184,"v_lshl_add_u64 v[8:9], v[2:3], 1, s[2:3]",8,40,0,0,""
2,11192,"global_load_dwordx4 v[8:11], v[8:9], off",8,1448,1416,56,""
2,11200,"s_load_dwordx2 s[2:3], s[0:1], 0x4",8,32,0,0,""
2,11208,"s_load_dwordx2 s[8:9], s[0:1], 0x20",8,32,0,0,""
2,11216,"s_load_dword s10, s[0:1], 0x48",8,32,0,0,""
2,11224,"v_and_b32_e32 v19, 31, v0",8,32,0,0,""
2,11228,"v_lshrrev_b32_e32 v0, 3, v0",8,32,0,0,""
2,11232,"v_lshlrev_b32_e32 v65, 5, v12",8,32,0,0,""
2,11236,"v_and_b32_e32 v70, 4, v0",8,32,0,0,""
2,11240,"v_lshl_or_b32 v64, v1, 5, v19",8,32,0,0,""
2,11248,"v_lshl_or_b32 v73, v13, 4, v16",8,32,0,0,""
2,11256,"v_or_b32_e32 v0, v65, v19",8,32,0,0,""
2,11260,"v_lshl_add_u32 v74, v17, 4, v18",8,32,0,0,""
2,11268,"v_lshl_or_b32 v71, v64, 4, v70",8,32,0,0,""
2,11276,"v_lshl_or_b32 v72, v0, 4, v70",8,32,0,0,""
2,11284,"v_lshlrev_b32_e32 v0, 1, v73",8,32,0,0,""
2,11288,"s_waitcnt lgkmcnt(0)",8,32,32,0,""
2,11292,"s_cmp_lt_u32 s3, 17",8,32,0,0,""
2,11296,"v_lshlrev_b32_e32 v1, 1, v74",8,32,0,0,""
2,11300,"s_waitcnt vmcnt(1)",8,52412,52412,0,""
2,11304,"ds_write_b128 v0, v[4:7]",8,160,0,0,""
2,11312,"s_waitcnt vmcnt(0)",8,13748,13748,0,""
2,11316,"ds_write_b128 v1, v[8:11] offset:8192",8,160,0,0,""
2,11324,"s_waitcnt lgkmcnt(0)",8,480,480,0,""
2,11328,"s_barrier",8,2028,2028,0,""
2,11332,"s_cbranch_scc1 141",8,32,0,0,""
2,11336,"s_lshl_b32 s6, s12, 4",8,32,0,0,""
2,11340,"s_lshl_b64 s[0:1], s[6:7], 1",8,32,0,0,""
2,11344,"s_add_u32 s6, s0, s22",8,32,0,0,""
2,11348,"s_addc_u32 s13, s1, s23",8,32,0,0,""
2,11352,"s_add_u32 s12, s18, s6",8,32,0,0,""
2,11356,"s_addc_u32 s13, s19, s13",8,32,0,0,""
2,11360,"v_lshl_add_u64 v[66:67], v[2:3], 1, s[12:13]",8,32,0,0,""
2,11368,"s_add_u32 s12, s16, s20",8,32,0,0,""
2,11372,"s_addc_u32 s13, s17, s21",8,32,0,0,""
2,11376,"v_lshl_add_u64 v[0:1], v[14:15], 1, s[12:13]",8,32,0,0,""
2,11384,"v_lshl_add_u64 v[68:69], v[0:1], 0, 32",8,32,0,0,""
2,11392,"v_mov_b32_e32 v0, 0",8,32,0,0,""
2,11396,"s_mov_b32 s6, 16",8,32,0,0,""
2,11400,"v_mov_b32_e32 v1, v0",8,32,0,0,""
2,11404,"v_mov_b32_e32 v2, v0",8,32,0,0,""
2,11408,"v_mov_b32_e32 v3, v0",8,32,0,0,""
2,11412,"v_mov_b32_e32 v4, v0",8,32,0,0,""
2,11416,"v_mov_b32_e32 v5, v0",8,32,0,0,""
2,11420,"v_mov_b32_e32 v6, v0",8,32,0,0,""
2,11424,"v_mov_b32_e32 v7, v0",8,32,0,0,""
2,11428,"v_mov_b32_e32 v8, v0",8,32,0,0,""
2,11432,"v_mov_b32_e32 v9, v0",8,32,0,0,""
2,11436,"v_mov_b32_e32 v10, v0",8,32,0,0,""
2,11440,"v_mov_b32_e32 v11, v0",8,32,0,0,""
2,11444,"v_mov_b32_e32 v12, v0",8,32,0,0,""
2,11448,"v_mov_b32_e32 v13, v0",8,32,0,0,""
2,11452,"v_mov_b32_e32 v14, v0",8,32,0,0,""
2,11456,"v_mov_b32_e32 v15, v0",8,32,0,0,""
2,11460,"v_mov_b32_e32 v16, v0",8,32,0,0,""
2,11464,"v_mov_b32_e32 v17, v0",8,32,0,0,""
2,11468,"v_mov_b32_e32 v18, v0",8,32,0,0,""
2,11472,"v_mov_b32_e32 v19, v0",8,32,0,0,""
2,11476,"v_mov_b32_e32 v20, v0",8,32,0,0,""
2,11480,"v_mov_b32_e32 v21, v0",8,32,0,0,""
2,11484,"v_mov_b32_e32 v22, v0",8,32,0,0,""
2,11488,"v_mov_b32_e32 v23, v0",8,32,0,0,""
2,11492,"v_mov_b32_e32 v24, v0",8,32,0,0,""
2,11496,"v_mov_b32_e32 v25, v0",8,32,0,0,""
2,11500,"v_mov_b32_e32 v26, v0",8,32,0,0,""
